Region,population
Auvergne,8.7
Rhone-Alpes,8.7
Franche-Comte,8.8
Bourgogne,8.8
Bretagne,8.7
Pays-de-la-Loire,8.4
Centre,9.9
Corse,11.5
Lorraine,9.6
Alsace,9.6
Champagne-Ardenne,9.6
Nord-Pas-de-Calais,12.5
Picardie,12.5
Ile-de-France,8.3
Haute-Normandie,9.4
Basse-Normandie,9.4
Aquitaine,9.5
Limousin,9.5
Poitou-Charentes,9.5
Occitanie,12.0
Pays de la Loire,8.4
Provence Alpes Cote Azur,11.4
Midi-Pyrenees,12
Languedoc-Roussillon,12
